gen1_ID,MID,hatch_date,wing_date,pop,sex,S.wing,viable,test_date,test_temp,test_age,rand,cohort
1415,329,9.9.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.973127835,4
1421,329,9.8.21,10.04.21,PK,F,N,Y,10/4/21,NA,NA,0.591555693,4
1425,329,9.2.21,10.05.21,PK,M,N,Y,10/5/21,NA,NA,0.928506836,4
1430,329,,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.453446976,4
1432,329,9.1.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.19449614,4
1434,329,9.1.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.237856501,4
1438,329,9.9.21,10.05.21,PK,M,Y,Y,10/5/21,NA,NA,0.835425266,4
1442,329,9.9.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.170967156,4
1444,329,9.9.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.702093954,4
1445,329,9.2.21,10.04.21,PK,M,Y,Y,10/4/21,NA,NA,0.734670507,4
1447,329,9.9.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.65703864,4
1457,329,9.9.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.794150427,4
1461,329,9.8.21,10.04.21,PK,F,N,Y,10/4/21,NA,NA,0.048528443,4
1469,329,,10.04.21,PK,F,N,Y,10/4/21,NA,NA,0.347972978,4
1489,329,,10.04.21,PK,F,N,,10/4/21,NA,NA,0.203178861,4
1511,329,,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.051171514,4
1514,329,,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.980587401,4
1515,329,,10.04.21,PK,M,Y,Y,10/4/21,NA,NA,0.756490192,4
1518,329,,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.407961606,4
1522,329,,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.201861795,4
1524,329,9.9.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.679592548,4
1526,329,9.9.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.631097559,4
1527,329,9.9.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.022490511,4
1529,329,,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.575367623,4
1530,329,9.10.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.492645081,4
1531,329,9.9.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.626385646,4
1535,329,,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.349904531,4
1537,329,9.9.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.196998648,4
1551,329,9.8.21,10.04.21,PK,F,N,Y,10/4/21,NA,NA,0.385644483,4
1554,329,9.8.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.67536692,4
1555,329,9.8.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.810024718,4
1558,16,9.8.21,10.05.21,KL,F,Y,Y,10/5/21,NA,NA,0.511710036,4
1563,16,9.8.21,10.04.21,KL,F,N,Y,10/4/21,NA,NA,0.670372958,4
1564,16,9.8.21,10.04.21,KL,M,N,Y,10/4/21,NA,NA,0.50907793,4
1566,16,9.8.21,10.04.21,KL,F,Y,Y,10/4/21,NA,NA,0.477269419,4
1585,329,,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.196203849,4
1587,329,,10.05.21,PK,F,N,Y,10/5/21,NA,NA,0.686659822,4
1590,329,,10.06.21,PK,F,Y,Y,10/6/21,NA,NA,0.625774563,4
1591,329,,10.04.21,PK,F,N,Y,10/4/21,NA,NA,0.700027312,4
1595,329,9.10.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.268324733,4
1596,329,9.10.21,10.06.21,PK,M,N,Y,10/6/21,NA,NA,0.531471093,4
1598,329,9.10.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.597407987,4
1599,329,9.10.21,10.04.21,PK,M,Y,Y,10/4/21,NA,NA,0.279464118,4
1600,329,9.10.21,10.04.21,PK,F,Y,Y,10/4/21,NA,NA,0.062157409,4
1603,329,9.10.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.812993347,4
1622,329,9.15.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.492156598,4
1633,329,,10.06.21,PK,F,Y,Y,10/6/21,NA,NA,0.029002902,4
1646,329,9.15.21,10.04.21,PK,M,N,Y,10/4/21,NA,NA,0.930439618,4
1647,329,,10.06.21,PK,F,Y,Y,10/6/21,NA,NA,0.265669583,4
1649,329,9.15.21,10.06.21,PK,F,Y,Y,10/6/21,NA,NA,0.41361537,4
1663,329,9.15.21,10.05.21,PK,M,Y,Y,10/5/21,NA,NA,0.716789065,4
1675,329,9.12.21,10.05.21,PK,M,Y,Y,10/5/21,NA,NA,0.352465502,4
1677,329,9.16.21,10.06.21,PK,M,N,Y,10/6/21,NA,NA,0.563203625,4
1678,329,9.15.21,10.05.21,PK,M,Y,Y,10/5/21,NA,NA,0.318225667,4
1681,329,9.15.21,10.06.21,PK,M,N,Y,10/6/21,NA,NA,0.850088103,4
1684,16,,10.06.21,KL,F,Y,Y,10/6/21,NA,NA,0.228923947,4
1439,329,,10.07.21,PK,M,Y,Y,10/7/21,NA,NA,0.72670602,5
1441,329,8.31.21,10.07.21,PK,F,Y,Y,10/7/21,NA,NA,0.487141229,5
1459,329,9.1.21,10.07.21,PK,F,N,Y,10/7/21,NA,NA,0.995019026,5
1495,9,9.8.21,10.07.21,PK,F,N,Y,10/7/21,NA,NA,0.93172634,5
1544,114,9.9.21,10.07.21,KL,F,N,Y,10/7/21,NA,NA,0.981372186,5
1553,329,9.8.21,10.07.21,PK,M,N,Y,10/7/21,NA,NA,0.072923298,5
1570,114,9.8.21,10.07.21,KL,F,N,Y,10/7/21,NA,NA,0.447921198,5
1586,329,,10.08.21,PK,M,N,Y,10/8/21,NA,NA,0.566227762,5
1588,329,,10.08.21,PK,F,Y,Y,10/8/21,NA,NA,0.730762037,5
1601,329,9.10.21,10.08.21,PK,F,Y,Y,10/8/21,NA,NA,0.378416876,5
1604,329,9.10.21,10.07.21,PK,M,N,Y,10/7/21,NA,NA,0.636285124,5
1615,329,9.15.21,10.07.21,PK,F,Y,Y,10/7/21,NA,NA,0.878783867,5
1616,329,9.15.21,10.08.21,PK,F,N,Y,10/8/21,NA,NA,0.769454202,5
1620,329,9.15.21,10.08.21,PK,M,N,Y,10/8/21,NA,NA,0.958920058,5
