gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1272,16,8.27.21,9.2.21,9.27.21,,KL,M,N,Y,L/S,
1273,16,8.27.21,8.31.21,9.29.21,,KL,M,N,Y,,
1274,16,8.27.21,9.2.21,9.30.21,,KL,F,N,Y,,
1275,16,8.27.21,9.2.21,10.04.21,10.04.21,KL,M,N,Y,10.2-10.4,
1276,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1277,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1278,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1279,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1280,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1281,16,8.27.21,8.29.21,9.28.21,,KL,M,Y,Y,,
1282,16,8.27.21,8.31.21,10.04.21,,KL,M,Y,Y,10.2-10.4,
1283,16,8.27.21,8.29.21,9.25.21,,KL,M,N,Y,,
1284,16,8.27.21,8.31.21,10.04.21,,KL,M,N,Y,10.2-10.4,
1285,16,8.27.21,9.1.21,9.30.21,,KL,M,N,Y,,
1286,16,8.27.21,9.1.21,9.27.21,,KL,M,Y,Y,,
1287,16,8.27.21,9.1.21,9.28.21,,KL,M,N,Y,,
1288,16,8.27.21,9.2.21,10.01.21,,KL,F,N,Y,,
1289,16,8.27.21,8.29.21,9.28.21,,KL,F,N,Y,,
1290,16,8.27.21,9.2.21,9.27.21,,KL,M,Y,Y,,
1291,16,8.27.21,8.31.21,9.29.21,,KL,F,N,Y,,
1292,16,8.27.21,8.30.21,10.04.21,,KL,M,N,Y,,
1293,16,8.27.21,8.29.21,9.27.21,,KL,M,N,Y,,
1294,16,8.27.21,8.31.21,9.28.21,,KL,F,Y,Y,,
1295,16,8.27.21,8.29.21,,9.21.21,KL,,,Y,,
1296,16,8.27.21,8.29.21,9.26.21,,KL,F,N,Y,,
1297,16,8.27.21,,,9.1.21,KL,,,Y,,
1298,16,8.27.21,,,,KL,,,,,
1299,16,8.27.21,9.1.21,,9.21.21,KL,,,Y,,
